Câu hỏi,Câu trả lời
Thiết bị an toàn cho trẻ em là gì?,"Là thiết bị có đủ khả năng bảo đảm an toàn cho trẻ em ở tư thế ngồi hoặc nằm trên xe ô tô, được thiết kế để giảm nguy cơ chấn thương cho người dùng trong trường hợp xảy ra va chạm hoặc xe ô tô giảm tốc độ đột ngột, bằng cách hạn chế sự di chuyển của cơ thể trẻ em."
Thiết bị thông minh hỗ trợ chỉ huy điều khiển giao thông là gì?,"Là thiết bị kỹ thuật công nghệ có khả năng phát hiện, phân tích, đánh giá các tình huống giao thông đường bộ, vi phạm pháp luật trên đường bộ; do lực lượng chức năng sử dụng để hỗ trợ chỉ huy, điều khiển giao thông đường bộ, giải quyết tình huống và xử lý vi phạm pháp luật trên đường bộ."
Người tham gia giao thông đường bộ phải đi về phía nào theo chiều đi của mình?,Phải đi bên phải theo chiều đi của mình.
Người lái xe và người được chở trên xe ô tô có trách nhiệm gì khi tham gia giao thông?,Phải thắt dây đai an toàn tại những chỗ có trang bị dây đai an toàn khi tham gia giao thông đường bộ.
"Khi chở trẻ em dưới 10 tuổi và chiều cao dưới 1,35 mét trên xe ô tô cần lưu ý gì?","Không được cho trẻ em ngồi cùng hàng ghế với người lái xe (trừ loại xe ô tô chỉ có một hàng ghế); người lái xe phải sử dụng, hướng dẫn sử dụng thiết bị an toàn phù hợp cho trẻ em."
Thứ tự ưu tiên chấp hành báo hiệu đường bộ từ cao xuống thấp là gì?,"Hiệu lệnh của người điều khiển giao thông; tín hiệu đèn giao thông; biển báo hiệu đường bộ; vạch kẻ đường và các dấu hiệu khác trên mặt đường; cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H; thiết bị âm thanh báo hiệu đường bộ."
Tín hiệu đèn giao thông màu đỏ có ý nghĩa gì?,Cấm đi.
Tín hiệu đèn giao thông màu vàng có ý nghĩa gì?,Phải dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp.
Tín hiệu đèn giao thông màu xanh có ý nghĩa gì?,Được đi.
Khi tay bên phải của người điều khiển giao thông giơ thẳng đứng có ý nghĩa gì?,Báo hiệu cho người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại.
Khi hai tay hoặc một tay của người điều khiển giao thông dang ngang có ý nghĩa gì?,Báo hiệu cho người tham gia giao thông đường bộ ở phía trước và phía sau phải dừng lại; người ở phía bên phải và bên trái được đi.
Biển báo cấm có tác dụng gì?,Để biểu thị các điều cấm.
Biển báo nguy hiểm có tác dụng gì?,Để cảnh báo các tình huống nguy hiểm có thể xảy ra.
Biển hiệu lệnh có tác dụng gì?,Để báo hiệu lệnh phải thi hành.
Biển chỉ dẫn có tác dụng gì?,Để chỉ dẫn hướng đi hoặc các điều cần biết.
Khi ở một vị trí vừa có biển báo hiệu đặt cố định vừa có biển báo hiệu tạm thời mà hai biển có ý nghĩa khác nhau thì xử lý như thế nào?,Người tham gia giao thông đường bộ phải chấp hành hiệu lệnh của biển báo hiệu tạm thời.
"Trên đường có nhiều làn đường cùng chiều, mỗi lần chuyển làn được phép chuyển sang bao nhiêu làn?",Chỉ được phép chuyển sang một làn đường liền kề.
"Trên một chiều đường có vạch kẻ phân làn đường, xe thô sơ phải đi ở đâu?",Phải đi trên làn đường bên phải trong cùng.
Vượt xe là gì?,"Là tình huống giao thông trên đường mà mỗi chiều đường xe chạy chỉ có một làn đường dành cho xe cơ giới, xe đi phía sau di chuyển sang bên trái để di chuyển lên trước xe phía trước."
Khi vượt xe phải vượt về phía nào?,Phải vượt bên trái.
Khi nào được vượt về bên phải?,"Khi xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái, hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái."
"Không được vượt xe trong hầm đường bộ, đúng hay sai?","Đúng, không được vượt xe trong hầm đường bộ."
"Trước khi chuyển hướng, người điều khiển phương tiện phải làm gì?","Phải quan sát, bảo đảm khoảng cách an toàn với xe phía sau, giảm tốc độ và có tín hiệu báo hướng rẽ, chuyển dần sang làn gần nhất với hướng rẽ."
Không được quay đầu xe ở những địa điểm nào?,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, gầm cầu vượt, ngầm, tại nơi đường bộ giao nhau cùng mức với đường sắt, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, trên đường cao tốc, trong hầm đường bộ, trên đường một chiều."
Dừng xe được định nghĩa như thế nào?,"Là trạng thái đứng yên tạm thời của xe trong một khoảng thời gian cần thiết đủ để cho người lên xe, xuống xe, xếp dỡ hàng hóa, kiểm tra kỹ thuật xe hoặc hoạt động khác."
Đỗ xe được định nghĩa như thế nào?,Là trạng thái đứng yên của xe không giới hạn thời gian.
Xe đỗ trên đoạn đường dốc phải làm gì?,"Phải đánh lái về phía lề đường, chèn bánh."
"Không được dừng xe, đỗ xe cách xe ô tô đang đỗ ngược chiều bao nhiêu mét trên đường phố hẹp?",Dưới 20 mét.
"Không được dừng xe, đỗ xe trong phạm vi bao nhiêu mét tính từ mép đường giao nhau?",Trong phạm vi 05 mét.
"Không được dừng xe, đỗ xe trong phạm vi bao nhiêu mét hai bên cổng trụ sở cơ quan, tổ chức?",Trong phạm vi 05 mét.
"Trước khi mở cửa xe, người mở cửa phải làm gì?","Phải quan sát phía trước, phía sau và bên phía mở cửa xe, khi thấy an toàn mới được mở cửa xe."
Người lái xe phải bật đèn chiếu sáng phía trước trong thời gian nào?,"Từ 18 giờ ngày hôm trước đến 06 giờ ngày hôm sau hoặc khi có sương mù, khói, bụi, trời mưa, thời tiết xấu làm hạn chế tầm nhìn."
"Người lái xe phải tắt đèn chiếu xa, bật đèn chiếu gần khi gặp xe đi ngược chiều, trừ trường hợp nào?",Trừ trường hợp dải phân cách có khả năng chống chói.
Không sử dụng còi trong thời gian nào trong khu đông dân cư?,Từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau.
"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đến từ hướng nào?",Phải nhường đường cho xe đi đến từ bên phải.
"Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đến từ hướng nào?",Phải nhường đường cho xe đi đến từ bên trái.
Xe ưu tiên gồm những loại xe nào?,"Xe chữa cháy đi làm nhiệm vụ; xe của lực lượng quân sự, công an và kiểm sát đi làm nhiệm vụ khẩn cấp; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương đi làm nhiệm vụ cấp cứu; xe hộ đê đi làm nhiệm vụ; xe đi làm nhiệm vụ cứu nạn, cứu hộ; đoàn xe tang."
"Xe chữa cháy của Cảnh sát phòng cháy, chữa cháy có màu đèn ưu tiên là gì?",Đèn nhấp nháy màu đỏ.
"Xe của lực lượng công an, kiểm sát đi làm nhiệm vụ khẩn cấp có màu đèn ưu tiên là gì?",Đèn nhấp nháy màu xanh và đỏ.
Xe hộ đê đi làm nhiệm vụ có màu đèn ưu tiên là gì?,Đèn nhấp nháy màu xanh.
"Khi có tín hiệu của xe ưu tiên, người và phương tiện tham gia giao thông phải làm gì?","Phải giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường."
Trẻ em dưới mấy tuổi khi đi qua đường phải có người lớn dẫn dắt?,Trẻ em dưới 07 tuổi.
"Người lái xe mô tô hai bánh, xe gắn máy chỉ được chở bao nhiêu người?","Chỉ được chở một người, trừ một số trường hợp đặc biệt được chở tối đa hai người."
"Người lái xe và người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy phải làm gì?",Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.
"Người lái xe đạp, xe đạp máy chỉ được chở bao nhiêu người?","Chỉ được chở một người, trừ trường hợp chở thêm một trẻ em dưới 07 tuổi thì được chở tối đa hai người."
Hàng hóa xếp trên xe thô sơ không được vượt quá bao nhiêu chiều dài thân xe về phía trước và phía sau?,Không vượt quá 01 mét phía trước và phía sau xe.
Hàng hóa xếp trên xe thô sơ không được vượt quá bao nhiêu mét mỗi bên bánh xe?,"Không vượt quá 0,4 mét mỗi bên bánh xe."
"Hàng hóa xếp trên xe mô tô, xe gắn máy không được vượt quá bao nhiêu mét về phía sau giá đèo hàng?","Không vượt quá 0,5 mét về phía sau giá đèo hàng."
"Chiều cao xếp hàng hóa trên xe mô tô, xe gắn máy tính từ mặt đường không được vượt quá bao nhiêu mét?",Không vượt quá 02 mét.
Xe ô tô bao gồm những loại xe nào theo Luật này?,Xe có từ bốn bánh trở lên chạy bằng động cơ; xe ba bánh có khối lượng bản thân lớn hơn 400 kg. Xe ô tô không bao gồm xe chở người bốn bánh có gắn động cơ và xe chở hàng bốn bánh có gắn động cơ.
Xe gắn máy được định nghĩa như thế nào?,"Là xe có hai hoặc ba bánh chạy bằng động cơ, được thiết kế sản xuất để hoạt động trên đường bộ, có vận tốc thiết kế không lớn hơn 50 km/h; nếu động cơ nhiệt thì dung tích không lớn hơn 50 cm³; nếu động cơ điện thì công suất không lớn hơn 04 kW."
Xe đạp máy (xe đạp điện) được định nghĩa như thế nào?,"Là xe đạp có trợ lực từ động cơ, nguồn động lực từ động cơ bị ngắt khi người lái xe dừng đạp hoặc khi xe đạt tới tốc độ 25 km/h."
Phương tiện giao thông thông minh là gì?,"Là xe cơ giới cho phép tự động hóa một phần hoặc toàn bộ hoạt động điều khiển phương tiện, xác định lộ trình và xử lý tình huống khi tham gia giao thông đường bộ."
"Xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ phải đáp ứng những điều kiện gì?",Được cấp chứng nhận đăng ký xe và gắn biển số xe theo quy định; bảo đảm chất lượng an toàn kỹ thuật và bảo vệ môi trường theo quy định.
Xe ô tô kinh doanh vận tải phải lắp thiết bị gì?,Phải lắp thiết bị giám sát hành trình.
"Xe ô tô chở người từ 08 chỗ trở lên kinh doanh vận tải, xe ô tô đầu kéo, xe cứu thương phải lắp thiết bị gì?",Phải lắp thiết bị giám sát hành trình và thiết bị ghi nhận hình ảnh người lái xe.
"Biển số xe nền màu xanh, chữ và số màu trắng được cấp cho đối tượng nào?","Cấp cho xe của cơ quan Đảng, Nhà nước, tổ chức chính trị - xã hội, đơn vị sự nghiệp công lập."
"Biển số xe nền màu đỏ, chữ và số màu trắng được cấp cho đối tượng nào?",Cấp cho xe quân sự.
"Biển số xe nền màu vàng, chữ và số màu đen được cấp cho đối tượng nào?",Cấp cho xe hoạt động kinh doanh vận tải.
"Biển số xe nền màu trắng, chữ và số màu đen được cấp cho đối tượng nào?","Cấp cho xe của các tổ chức, cá nhân trong nước không thuộc các đối tượng đặc biệt khác."
Biển số xe có ký hiệu 'NG' được cấp cho đối tượng nào?,"Cấp cho xe của cơ quan đại diện ngoại giao, cơ quan lãnh sự và nhân viên nước ngoài mang chứng minh thư ngoại giao."
Giá khởi điểm của một biển số xe ô tô đưa ra đấu giá không thấp hơn bao nhiêu?,Không thấp hơn 40 triệu đồng.
"Giá khởi điểm của một biển số xe mô tô, xe gắn máy đưa ra đấu giá không thấp hơn bao nhiêu?",Không thấp hơn 05 triệu đồng.
Người trúng đấu giá biển số xe phải nộp đủ tiền trúng đấu giá trong thời hạn bao nhiêu ngày?,Trong thời hạn 30 ngày kể từ ngày có thông báo kết quả trúng đấu giá.
Người trúng đấu giá biển số xe phải thực hiện thủ tục đăng ký xe trong thời hạn bao nhiêu tháng?,Trong thời hạn 12 tháng kể từ ngày được cấp quyết định xác nhận biển số xe trúng đấu giá.
Khi chủ xe thay đổi địa chỉ thì biển số xe định danh có bị thay đổi không?,"Không, được giữ lại số biển số xe định danh."
Chủ xe khi xe hết niên hạn sử dụng hoặc hư hỏng được giữ lại số biển số xe trong thời hạn bao nhiêu năm?,Trong thời hạn 05 năm để đăng ký cho xe khác thuộc sở hữu của mình.
Niên hạn sử dụng của xe cơ giới được tính bắt đầu từ khi nào?,Từ năm sản xuất xe đến hết ngày 31 tháng 12 của năm hết niên hạn sử dụng.
Loại xe cơ giới nào không áp dụng niên hạn sử dụng?,"Xe mô tô, xe gắn máy, xe ô tô chở người có số người cho phép chở đến 08 người (không kể người lái xe), xe ô tô chuyên dùng, rơ moóc, sơ mi rơ moóc; xe cơ giới của quân đội, công an phục vụ mục đích quốc phòng, an ninh."
"Việc kiểm định đối với xe mô tô, xe gắn máy chỉ thực hiện kiểm định gì?",Chỉ thực hiện kiểm định khí thải.
Người lái xe tham gia giao thông đường bộ phải mang theo những giấy tờ gì?,Chứng nhận đăng ký xe; giấy phép lái xe phù hợp; chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường; chứng nhận bảo hiểm bắt buộc trách nhiệm dân sự.
Người lái xe gắn máy tham gia giao thông cần những điều kiện gì?,"Phải hiểu biết quy tắc giao thông đường bộ, có kỹ năng điều khiển phương tiện; đủ điều kiện về độ tuổi và sức khỏe theo quy định."
Giấy phép lái xe hạng A1 cấp cho đối tượng nào?,Cấp cho người lái xe mô tô hai bánh có dung tích xi-lanh đến 125 cm³ hoặc có công suất động cơ điện đến 11 kW.
Giấy phép lái xe hạng A cấp cho đối tượng nào?,Cấp cho người lái xe mô tô hai bánh có dung tích xi-lanh trên 125 cm³ hoặc có công suất động cơ điện trên 11 kW và các loại xe quy định cho hạng A1.
Giấy phép lái xe hạng B cấp cho đối tượng nào?,Cấp cho người lái xe ô tô chở người đến 08 chỗ (không kể chỗ người lái xe); xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ đến 3.500 kg; các loại xe ô tô hạng B kéo rơ moóc đến 750 kg.
Giấy phép lái xe hạng D cấp cho đối tượng nào?,"Cấp cho người lái xe ô tô chở người (kể cả xe buýt) trên 29 chỗ (không kể chỗ người lái xe); xe ô tô chở người giường nằm; và các loại xe hạng B, C1, C, D1, D2."
"Thời hạn của giấy phép lái xe hạng A1, A, B1 là bao lâu?",Không thời hạn.
Thời hạn của giấy phép lái xe hạng B và hạng C1 là bao lâu?,Có thời hạn 10 năm kể từ ngày cấp.
"Thời hạn của giấy phép lái xe hạng C, D1, D2, D và các hạng E là bao lâu?",Có thời hạn 05 năm kể từ ngày cấp.
Điểm của giấy phép lái xe bao gồm bao nhiêu điểm?,12 điểm.
Sau bao nhiêu tháng nếu giấy phép lái xe không bị trừ điểm thì được phục hồi đủ 12 điểm?,Sau 12 tháng từ ngày bị trừ điểm gần nhất mà không bị trừ điểm thêm.
"Khi giấy phép lái xe bị trừ hết điểm, sau bao nhiêu tháng người lái xe được tham gia kiểm tra để phục hồi điểm?",Sau thời hạn ít nhất là 06 tháng kể từ ngày bị trừ hết điểm.
Người đủ bao nhiêu tuổi được điều khiển xe gắn máy?,Người đủ 16 tuổi trở lên.
Người đủ bao nhiêu tuổi được cấp giấy phép lái xe hạng B?,Người đủ 18 tuổi trở lên.
Người đủ bao nhiêu tuổi được cấp giấy phép lái xe hạng C?,Người đủ 21 tuổi trở lên.
"Người đủ bao nhiêu tuổi được cấp giấy phép lái xe hạng D1, D2?",Người đủ 24 tuổi trở lên.
Người đủ bao nhiêu tuổi được cấp giấy phép lái xe hạng D?,Người đủ 27 tuổi trở lên.
Tuổi tối đa của người lái xe ô tô chở người trên 29 chỗ đối với nam là bao nhiêu?,Đủ 57 tuổi đối với nam.
Tuổi tối đa của người lái xe ô tô chở người trên 29 chỗ đối với nữ là bao nhiêu?,Đủ 55 tuổi đối với nữ.
Thời gian lái xe của người lái xe ô tô không quá bao nhiêu giờ trong một ngày?,Không quá 10 giờ trong một ngày.
Thời gian lái xe liên tục không quá bao nhiêu giờ?,Không quá 04 giờ.
Thời gian lái xe ô tô không quá bao nhiêu giờ trong một tuần?,Không quá 48 giờ trong một tuần.
"Cảnh sát giao thông được dừng phương tiện để kiểm tra, kiểm soát dựa trên những căn cứ nào?","Khi phát hiện hành vi vi phạm pháp luật; thực hiện theo mệnh lệnh, kế hoạch tuần tra của cấp có thẩm quyền; phục vụ bảo vệ an ninh quốc gia; có tin báo, tố giác, phản ánh về tội phạm, vi phạm pháp luật."
"Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ bao gồm những loại dữ liệu nào?","Dữ liệu về đăng ký, quản lý xe cơ giới; đăng kiểm; đào tạo, sát hạch, cấp giấy phép lái xe; người điều khiển; bảo hiểm; xử lý vi phạm hành chính; tai nạn giao thông; hành trình phương tiện; quản lý thời gian điều khiển."
"Bộ nào là cơ quan đầu mối giúp Chính phủ thực hiện thống nhất quản lý nhà nước về trật tự, an toàn giao thông đường bộ?",Bộ Công an.
Bộ Giao thông vận tải thực hiện quản lý nhà nước về những lĩnh vực nào liên quan đến giao thông đường bộ?,"Đào tạo, sát hạch, cấp giấy phép lái xe; chất lượng an toàn kỹ thuật và bảo vệ môi trường của xe cơ giới, xe máy chuyên dùng, phụ tùng xe cơ giới."
Bộ Y tế thực hiện quản lý nhà nước về những lĩnh vực nào liên quan đến giao thông đường bộ?,"Điều kiện sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng; quy định về xác định nồng độ cồn và nồng độ cồn nội sinh trong máu."
Bộ Khoa học và Công nghệ có trách nhiệm gì về mũ bảo hiểm?,"Ban hành quy chuẩn kỹ thuật quốc gia về mũ bảo hiểm cho người đi xe mô tô, xe gắn máy, xe đạp máy."
Người điều khiển phương tiện có quyền được thông báo về điều gì khi bị dừng xe kiểm tra?,Được thông báo về căn cứ dừng phương tiện; nội dung và kết quả kiểm tra; hành vi vi phạm pháp luật và biện pháp xử lý.
Người điều khiển phương tiện gây tai nạn giao thông có trách nhiệm gì?,"Dừng ngay phương tiện, cảnh báo nguy hiểm, giữ nguyên hiện trường, trợ giúp người bị nạn và báo tin cho cơ quan Công an, cơ sở khám bệnh hoặc Ủy ban nhân dân nơi gần nhất."
Người có mặt tại hiện trường vụ tai nạn giao thông có trách nhiệm gì?,"Giúp đỡ, cứu chữa kịp thời người bị nạn; báo tin cho cơ quan Công an hoặc cơ sở khám bệnh; tham gia bảo vệ hiện trường và tài sản của người bị nạn."
"Cơ sở khám bệnh, chữa bệnh cấp cứu ban đầu người bị tai nạn giao thông có trách nhiệm gì?","Phải báo ngay cho cơ quan Công an nơi gần nhất; thực hiện xét nghiệm nồng độ cồn, chất ma túy trong máu của người điều khiển phương tiện."
Quỹ giảm thiểu thiệt hại tai nạn giao thông đường bộ được hình thành từ những nguồn nào?,"Từ hỗ trợ, viện trợ, đóng góp tự nguyện của các tổ chức, cá nhân trong nước và nước ngoài; từ các nguồn khác theo quy định pháp luật."
Xe buýt phải hoạt động như thế nào theo Luật này?,"Phải hoạt động đúng tuyến, đúng lịch trình, thời gian được phép hoạt động và dừng xe, đỗ xe đúng nơi quy định."
"Xe ô tô chở trẻ em mầm non, học sinh tiểu học phải có dây đai an toàn như thế nào?",Phải có dây đai an toàn phù hợp với lứa tuổi hoặc sử dụng xe có ghế ngồi phù hợp với lứa tuổi.
"Khi đưa đón trẻ em mầm non, học sinh tiểu học phải bố trí tối thiểu bao nhiêu người quản lý trên mỗi xe?",Tối thiểu 01 người quản lý trên mỗi xe ô tô.
Khi xe từ 29 chỗ trở lên chở từ 27 trẻ em mầm non và học sinh tiểu học trở lên phải bố trí bao nhiêu người quản lý?,Tối thiểu 02 người quản lý trên mỗi xe ô tô.
"Người lái xe ô tô đưa đón trẻ em mầm non, học sinh phải có tối thiểu bao nhiêu năm kinh nghiệm?",Tối thiểu 02 năm kinh nghiệm lái xe vận tải hành khách.
Hàng hóa nguy hiểm là gì?,"Là hàng hóa có chứa các chất hoặc vật phẩm nguy hiểm khi chở trên đường bộ có khả năng gây nguy hại tới tính mạng, sức khỏe con người, môi trường, an toàn và an ninh quốc gia."
Xe ô tô vận chuyển hàng hoá nguy hiểm phải có những gì?,"Phải dán biểu trưng nhận diện hàng hóa nguy hiểm; lắp đèn, tín hiệu cảnh báo."
"Hàng siêu trường, siêu trọng được định nghĩa như thế nào?","Là hàng không thể chia nhỏ, tháo rời, khi vận chuyển trên đường bộ làm cho phương tiện hoặc tổ hợp phương tiện bị vượt quá giới hạn cho phép về kích thước, khối lượng."
"Khi gặp sự cố kỹ thuật buộc phải đỗ xe trên đường cao tốc, cần đặt biển cảnh báo về phía sau xe tối thiểu bao nhiêu mét?",Tối thiểu 150 mét.
Những phương tiện nào không được đi trên đường cao tốc?,"Xe mô tô, xe gắn máy, xe thô sơ, người đi bộ, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ (trừ người và phương tiện phục vụ quản lý, bảo trì đường cao tốc)."
"Khi điều khiển phương tiện trong hầm đường bộ, xe cơ giới phải bật loại đèn gì?",Phải bật đèn chiếu gần.
"Người điều khiển, dẫn dắt vật nuôi đi trên đường bộ phải đi về phía nào?",Phải cho vật nuôi đi sát mép đường bên phải.
Có được thả vật nuôi trên đường bộ không?,Không được thả vật nuôi trên đường bộ.
Người khuyết tật điều khiển xe ô tô số tự động có kết cấu phù hợp được cấp giấy phép lái xe hạng nào?,Được cấp giấy phép lái xe hạng B.
Giấy phép lái xe quốc tế có thời hạn tối đa bao nhiêu năm?,Không quá 03 năm kể từ ngày cấp.
Người có giấy phép lái xe quốc tế khi lái xe tại Việt Nam phải mang theo những gì?,Phải mang theo giấy phép lái xe quốc tế và giấy phép lái xe quốc gia được cấp phù hợp với hạng xe điều khiển.
Trung tâm chỉ huy giao thông bao gồm những cấp nào?,"Trung tâm chỉ huy giao thông quốc gia và trung tâm chỉ huy giao thông tỉnh, thành phố trực thuộc trung ương."
Chỉ huy giao thông đường bộ được thực hiện thông qua những hình thức nào?,"Thông qua người có thẩm quyền chỉ huy giao thông; trung tâm chỉ huy giao thông; thiết bị thông minh hỗ trợ chỉ huy, điều khiển giao thông đường bộ."
"Xe ô tô chở trẻ em mầm non, học sinh phải có niên hạn sử dụng không quá bao nhiêu năm?",Không quá 20 năm.
"Khi nào được dừng xe, đỗ xe trên làn dừng khẩn cấp của đường cao tốc?","Trường hợp gặp sự cố kỹ thuật hoặc bất khả kháng khác buộc phải dừng xe, đỗ xe."
Điều khiển phương tiện có nồng độ cồn trong máu hoặc hơi thở có bị nghiêm cấm không?,"Có, đây là một trong các hành vi bị nghiêm cấm theo Điều 9 của Luật."
"Đua xe trái phép, tổ chức đua xe, cổ vũ đua xe có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Dùng tay cầm và sử dụng điện thoại khi điều khiển phương tiện đang di chuyển có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Giao xe cơ giới cho người không đủ điều kiện điều khiển có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Cải tạo xe ô tô loại khác thành xe ô tô chở người có bị nghiêm cấm không?,"Có, trừ cải tạo thành xe ô tô chở người phục vụ mục đích quốc phòng, an ninh."
Bỏ trốn sau khi gây tai nạn giao thông để trốn tránh trách nhiệm có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Cố ý can thiệp làm sai lệch chỉ số đồng hồ báo quãng đường của xe ô tô có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Lắp đặt, sử dụng thiết bị âm thanh, ánh sáng trên xe gây mất trật tự an toàn giao thông có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Sản xuất, sử dụng, mua, bán trái phép biển số xe có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Làm gián đoạn hoạt động hoặc làm sai lệch dữ liệu thiết bị giám sát hành trình có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Điều khiển vật thể bay, tàu bay không người lái trong phạm vi khổ giới hạn đường bộ gây cản trở có bị nghiêm cấm không?","Có, trừ tàu bay không người lái được cấp phép bay."
Lợi dụng chức vụ để can thiệp vào quá trình xử lý vi phạm giao thông có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Sử dụng quyền xe ưu tiên khi không thực hiện nhiệm vụ có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Khi có điều kiện mà cố ý không cứu giúp người bị tai nạn giao thông có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Xe xuống dốc phải nhường đường cho xe nào khi tránh nhau?,Phải nhường đường cho xe lên dốc.
"Trên đường không phân chia thành hai chiều xe chạy riêng biệt, khi tránh nhau phải đi về phía nào?",Phải cho xe đi về bên phải theo chiều xe chạy của mình.
Điều kiện để xe xin vượt được phép vượt là gì?,Không có chướng ngại vật phía trước; không có xe chạy ngược chiều trong đoạn đường định vượt; xe chạy trước không có tín hiệu vượt xe khác; đã có tín hiệu rẽ phải và tránh về bên phải.
"Khi xe xin vượt, người điều khiển phía trước phải làm gì nếu đủ điều kiện an toàn?","Phải giảm tốc độ, có tín hiệu rẽ phải và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua."
"Trong đô thị và khu đông dân cư từ 22 giờ đến 05 giờ, xe xin vượt được báo hiệu bằng gì?",Chỉ được báo hiệu xin vượt bằng đèn.
Lòng đường được sử dụng cho mục đích gì?,Được sử dụng cho mục đích giao thông.
Vỉa hè được sử dụng cho mục đích gì?,Được sử dụng cho người đi bộ.
